,ID,rodata,data,hora,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_Placar,visitante_Placar,mandante_Estado,visitante_Estado,chutes_mandante,chutes_no_alvo_mandante,posse_de_bola_mandante,passes_mandante,precisao_passes_mandante,faltas_mandante,cartao_amarelo_mandante,cartao_vermelho_mandante,impedimentos_mandante,escanteios_mandante,chutes_visitante,chutes_no_alvo_visitante,posse_de_bola_visitante,passes_visitante,precisao_passes_visitante,faltas_visitante,cartao_amarelo_visitante,cartao_vermelho_visitante,impedimentos_visitante,escanteios_visitante
0,4987,1,9/5/2015,18:32,Chapecoense,Coritiba,4-2-3-1,3-5-2,V. Eutrópio,M. dos Santos Gonçalves,Chapecoense,Arena Condá,2,1,SC,PR,13.0,0.0,45%,326.0,,20.0,2.0,0.0,3.0,3.0,16.0,0.0,55%,388.0,,21.0,2.0,0.0,0.0,5.0
1,4988,1,9/5/2015,18:33,Palmeiras,Atletico-MG,4-2-3-1,4-2-3-1,O. de Oliveira Filho,L. Culpi,-,Allianz Parque,2,2,SP,MG,17.0,0.0,50%,406.0,,20.0,2.0,0.0,2.0,11.0,10.0,0.0,50%,426.0,,14.0,4.0,0.0,4.0,2.0
2,4989,1,9/5/2015,21:00,Fluminense,Joinville,4-3-1-2,4-4-1-1,S. Drubscky de Campos,H. Maria,Fluminense, Maracanã,1,0,RJ,SC,26.0,11.0,74%,702.0,,9.0,2.0,0.0,1.0,5.0,3.0,0.0,26%,250.0,,14.0,0.0,1.0,1.0,3.0
3,4990,1,10/5/2015,11:00,Gremio,Ponte Preta,4-2-3-1,4-1-2-1-2,L. Scolari,A. Ferreira,-,Arena do Grêmio,3,3,RS,SP,11.0,0.0,45%,401.0,,17.0,3.0,0.0,2.0,5.0,17.0,0.0,55%,473.0,,21.0,4.0,1.0,0.0,10.0
4,4991,1,10/5/2015,16:00,Athletico-PR,Internacional,4-2-3-1,4-2-3-1,M. Mendes,D. Aguirre Camblor,Athletico-PR,Estádio Joaquim Américo Guimarães,3,0,PR,RS,10.0,0.0,39%,335.0,,17.0,1.0,0.0,1.0,2.0,17.0,0.0,61%,502.0,,17.0,2.0,0.0,1.0,11.0
5,4992,1,10/5/2015,16:02,Sao Paulo,Flamengo,4-2-3-1,4-3-2-1,M. Cruz,V. Luxemburgo da Silva,Sao Paulo, Morumbi,2,1,SP,RJ,19.0,0.0,54%,502.0,,17.0,2.0,0.0,1.0,4.0,12.0,0.0,46%,430.0,,12.0,1.0,0.0,6.0,6.0
6,4993,1,10/5/2015,15:59,Cruzeiro,Corinthians,4-2-3-1,4-2-3-1,M. de Oliveira Santos,A. Bacchi,Corinthians,Arena Pantanal,0,1,MG,SP,13.0,0.0,56%,487.0,,17.0,3.0,0.0,4.0,2.0,11.0,0.0,44%,391.0,,15.0,1.0,0.0,2.0,4.0
7,4994,1,10/5/2015,15:59,Sport,Figueirense,4-2-3-1,4-4-2,E. Baptista,A. Fucks,Sport,Adelmar da Costa Carvalho,4,1,PE,SC,17.0,0.0,54%,449.0,,17.0,1.0,0.0,0.0,7.0,7.0,0.0,46%,391.0,,14.0,2.0,1.0,3.0,1.0
8,4995,1,10/5/2015,18:34,Avai,Santos,4-3-1-2,4-2-3-1,G. Kleina,M. Fernandes,-,  Ressacada,1,1,SC,SP,16.0,0.0,51%,462.0,,10.0,2.0,0.0,2.0,4.0,8.0,0.0,49%,452.0,,11.0,1.0,1.0,2.0,3.0
9,4996,1,10/5/2015,18:29,Vasco,Goias,4-2-3-1,4-2-3-1,D. Ghidoni Junior,H. Pinto dos Anjos,-,Estádio Vasco da Gama,0,0,RJ,GO,11.0,0.0,62%,439.0,,16.0,3.0,0.0,0.0,4.0,5.0,0.0,38%,279.0,,27.0,5.0,0.0,2.0,2.0
10,4997,2,16/5/2015,18:29,Goias,Athletico-PR,4-3-1-2,4-2-3-1,H. Pinto dos Anjos,M. Mendes,Goias,Estádio do Governo do Estado de Goiás (Serra Dourada),2,0,GO,PR,13.0,0.0,41%,334.0,,14.0,2.0,0.0,0.0,6.0,8.0,0.0,59%,477.0,,18.0,1.0,1.0,1.0,5.0
11,4998,2,16/5/2015,18:33,Coritiba,Gremio,4-2-3-1,4-2-3-1,M. dos Santos Gonçalves,L. Scolari,Coritiba, Couto Pereira,2,0,PR,RS,9.0,0.0,43%,353.0,,22.0,2.0,0.0,3.0,2.0,10.0,0.0,57%,456.0,,13.0,3.0,0.0,4.0,4.0
12,4999,2,16/5/2015,21:02,Corinthians,Chapecoense,4-2-3-1,4-2-3-1,A. Bacchi,V. Eutrópio,Corinthians,Estádio Doutor Adhemar de Barros,1,0,SP,SC,13.0,0.0,46%,437.0,,16.0,2.0,0.0,1.0,7.0,11.0,0.0,54%,487.0,,13.0,4.0,0.0,5.0,2.0
13,5000,2,17/5/2015,11:03,Figueirense,Vasco,4-1-2-1-2,4-2-3-1,A. Fucks,D. Ghidoni Junior,-, Orlando Scarpelli,0,0,SC,RJ,12.0,0.0,47%,381.0,,18.0,2.0,0.0,3.0,6.0,14.0,0.0,53%,436.0,,13.0,6.0,0.0,0.0,7.0
14,5001,2,17/5/2015,16:01,Atletico-MG,Fluminense,4-2-3-1,4-2-3-1,L. Culpi,S. Drubscky de Campos,Atletico-MG,Estádio Nacional de Brasília,4,1,MG,RJ,16.0,8.0,54%,466.0,,17.0,2.0,0.0,1.0,7.0,8.0,2.0,46%,411.0,,9.0,1.0,0.0,2.0,0.0
15,5002,2,17/5/2015,16:02,Flamengo,Sport,4-2-3-1,4-2-3-1,V. Luxemburgo da Silva,E. Baptista,-, Maracanã,2,2,RJ,PE,18.0,0.0,59%,492.0,,10.0,2.0,0.0,6.0,13.0,14.0,0.0,41%,373.0,,7.0,3.0,0.0,1.0,3.0
16,5003,2,17/5/2015,16:02,Santos,Cruzeiro,4-2-3-1,4-2-3-1,M. Fernandes,M. de Oliveira Santos,Santos,Estádio Urbano Caldeira,1,0,SP,MG,20.0,0.0,44%,351.0,,18.0,1.0,0.0,2.0,15.0,7.0,0.0,56%,445.0,,13.0,4.0,0.0,5.0,3.0
17,5004,2,17/5/2015,18:31,Joinville,Palmeiras,4-3-3,4-3-2-1,H. Maria,O. de Oliveira Filho,-,Arena Joinville,0,0,SC,SP,8.0,0.0,39%,377.0,,17.0,3.0,0.0,5.0,1.0,11.0,0.0,61%,589.0,,12.0,1.0,0.0,3.0,5.0
18,5005,2,17/5/2015,18:33,Ponte Preta,Sao Paulo,4-2-3-1,4-2-3-1,A. Ferreira,M. Cruz,Ponte Preta, Moisés Lucarelli,1,0,SP,SP,19.0,0.0,40%,373.0,,15.0,1.0,0.0,5.0,6.0,10.0,0.0,60%,549.0,,14.0,3.0,0.0,1.0,4.0
19,5006,2,17/5/2015,18:30,Internacional,Avai,4-2-3-1,4-4-2,D. Aguirre Camblor,G. Kleina,Internacional,Estádio José Pinheiro Borda,1,0,RS,SC,8.0,0.0,57%,451.0,,17.0,3.0,0.0,2.0,4.0,6.0,0.0,43%,345.0,,26.0,7.0,0.0,4.0,9.0
20,5007,3,23/5/2015,18:33,Sao Paulo,Joinville,4-2-3-1,4-4-2,M. Cruz,H. Maria,Sao Paulo, Morumbi,3,0,SP,SC,16.0,0.0,63%,642.0,,12.0,2.0,0.0,3.0,5.0,7.0,0.0,37%,380.0,,11.0,0.0,0.0,1.0,0.0
